entry,at,order
"-- ending hand #117 --",2025-12-29T14:02:07.743Z,176701692774302
"""とーち @ OCY4-ehNwS"" collected 830 from pot",2025-12-29T14:02:07.743Z,176701692774301
"Uncalled bet of 1719 returned to ""とーち @ OCY4-ehNwS""",2025-12-29T14:02:07.743Z,176701692774300
"""Doc @ rNZKJiwrNl"" folds",2025-12-29T14:02:06.930Z,176701692693000
"""とーち @ OCY4-ehNwS"" raises to 2119 and go all in",2025-12-29T14:01:58.244Z,176701691824400
"""Doc @ rNZKJiwrNl"" raises to 400",2025-12-29T14:01:36.274Z,176701689627400
"""konasho @ f_d8ebrXPg"" folds",2025-12-29T14:01:05.548Z,176701686554800
"""Hibari @ gG60J3OV2j"" folds",2025-12-29T14:01:04.393Z,176701686439300
"""とーち @ OCY4-ehNwS"" raises to 120",2025-12-29T14:01:03.361Z,176701686336100
"The admin ""Doc @ rNZKJiwrNl"" enqueued the game stop on next hand.",2025-12-29T14:00:50.328Z,176701685032800
"""utos @ g0yui9LXM4"" folds",2025-12-29T14:00:44.355Z,176701684435500
"""粗茶 @ oH7etbSi_s"" folds",2025-12-29T14:00:43.284Z,176701684328400
"""Doc @ rNZKJiwrNl"" raises to 40",2025-12-29T14:00:42.186Z,176701684218600
"""konasho @ f_d8ebrXPg"" posts a big blind of 20",2025-12-29T14:00:38.305Z,176701683830509
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2025-12-29T14:00:38.305Z,176701683830508
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2760) | #3 ""粗茶 @ oH7etbSi_s"" (2757) | #4 ""utos @ g0yui9LXM4"" (2120) | #5 ""とーち @ OCY4-ehNwS"" (2119) | #7 ""Hibari @ gG60J3OV2j"" (2840) | #10 ""konasho @ f_d8ebrXPg"" (3326)",2025-12-29T14:00:38.305Z,176701683830501
"-- starting hand #117 (id: l1ho6rq3fgcz)  (No Limit Texas Hold'em) (dealer: ""とーち @ OCY4-ehNwS"") --",2025-12-29T14:00:38.305Z,176701683830500
"""utos @ g0yui9LXM4"" shows a A♥.",2025-12-29T14:00:35.427Z,176701683542700
"-- ending hand #116 --",2025-12-29T14:00:34.648Z,176701683464802
"""konasho @ f_d8ebrXPg"" collected 570 from pot",2025-12-29T14:00:34.648Z,176701683464801
"Uncalled bet of 320 returned to ""konasho @ f_d8ebrXPg""",2025-12-29T14:00:34.648Z,176701683464800
"""utos @ g0yui9LXM4"" folds",2025-12-29T14:00:33.771Z,176701683377100
"""konasho @ f_d8ebrXPg"" raises to 550",2025-12-29T13:59:32.774Z,176701677277400
"""utos @ g0yui9LXM4"" raises to 230",2025-12-29T13:59:19.818Z,176701675981800
"""konasho @ f_d8ebrXPg"" bets 40",2025-12-29T13:58:28.677Z,176701670867700
"Flop:  [8♦, 3♥, A♣]",2025-12-29T13:58:19.025Z,176701669902500
"""Hibari @ gG60J3OV2j"" folds",2025-12-29T13:58:18.186Z,176701669818600
"""とーち @ OCY4-ehNwS"" folds",2025-12-29T13:58:12.857Z,176701669285700
"""utos @ g0yui9LXM4"" calls 40",2025-12-29T13:58:10.273Z,176701669027300
"""粗茶 @ oH7etbSi_s"" folds",2025-12-29T13:58:07.216Z,176701668721600
"""Doc @ rNZKJiwrNl"" folds",2025-12-29T13:58:06.160Z,176701668616000
"""konasho @ f_d8ebrXPg"" raises to 40",2025-12-29T13:58:05.089Z,176701668508900
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2025-12-29T13:58:01.530Z,176701668153009
"""とーち @ OCY4-ehNwS"" posts a small blind of 10",2025-12-29T13:58:01.530Z,176701668153008
"Player stacks: #1 ""Doc @ rNZKJiwrNl"" (2760) | #3 ""粗茶 @ oH7etbSi_s"" (2757) | #4 ""utos @ g0yui9LXM4"" (2390) | #5 ""とーち @ OCY4-ehNwS"" (2129) | #7 ""Hibari @ gG60J3OV2j"" (2860) | #10 ""konasho @ f_d8ebrXPg"" (3026)",2025-12-29T13:58:01.530Z,176701668153001
"-- starting hand #116 (id: wphcobf8d2p6)  (No Limit Texas Hold'em) (dealer: ""utos @ g0yui9LXM4"") --",2025-12-29T13:58:01.530Z,176701668153000
"-- ending hand #115 --",2025-12-29T13:57:58.600Z,176701667860002
"""Hibari @ gG60J3OV2j"" collected 50 from pot",2025-12-29T13:57:58.600Z,176701667860001
