player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"粗茶",GtqOGZOqIV,2026-01-05T13:29:32.184Z,,4361,,1954,-2407
"mo'",-WgKDrZMvL,2026-01-05T12:47:51.366Z,,2500,1255,2950,1705
"たか＆とし",8VMvBRQFHc,2026-01-05T12:43:01.997Z,2026-01-05T13:24:28.208Z,5050,2425,0,-2625
"ひよこ",h5hwqfKGTq,2026-01-05T12:33:43.222Z,2026-01-05T14:01:41.266Z,3000,6262,0,3262
"たか＆とし",8VMvBRQFHc,2026-01-05T12:26:23.824Z,2026-01-05T12:42:32.516Z,2500,0,0,-2500
"りく",zz83sIdu2k,2026-01-05T12:18:26.543Z,2026-01-05T13:22:39.580Z,2000,2787,0,787
"ばどえあー",yIVa1pKt3y,2026-01-05T12:17:35.092Z,2026-01-05T13:37:48.575Z,2885,2835,0,-50
"らねおか",XaClitYV1x,2026-01-05T12:06:18.407Z,2026-01-05T13:19:19.393Z,2500,5404,0,2904
"kanimiso",0f3UuYd-1N,2026-01-05T11:57:58.341Z,2026-01-05T12:02:21.887Z,2000,1980,0,-20
"たろん",Rk-wT97oiz,2026-01-05T11:39:28.779Z,2026-01-05T13:27:56.425Z,4593,3995,0,-598
"teish",4kHSZklLpK,2026-01-05T11:36:17.955Z,2026-01-05T12:38:59.941Z,2000,2436,0,436
"MAX",7htETinMJU,2026-01-05T11:36:17.953Z,2026-01-05T11:40:53.147Z,2500,2470,0,-30
"kanimiso",0f3UuYd-1N,2026-01-05T11:30:03.449Z,2026-01-05T11:57:20.271Z,4845,2500,0,-2345
"Milly",I3BHCf7xJG,2026-01-05T11:25:53.701Z,2026-01-05T11:43:19.073Z,3000,2870,0,-130
"-TOMO-",-zWKG5L3i7,2026-01-05T11:12:54.435Z,2026-01-05T12:30:45.944Z,2500,0,0,-2500
"ぼくだよ",ETzmkF-zAj,2026-01-05T11:12:54.432Z,2026-01-05T12:35:49.239Z,2500,5107,0,2607
"たか＆とし",8VMvBRQFHc,2026-01-05T11:05:00.638Z,2026-01-05T12:14:18.106Z,2500,2980,0,480
"イナズマKすけ",3hUaqLSXt3,2026-01-05T11:00:46.238Z,2026-01-05T11:40:53.141Z,3200,2535,0,-665
"ノガード",WtIP2AbI23,2026-01-05T11:00:46.234Z,,4710,3788,2611,1689
