player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ポリネシアンアム",Noig3n81r2,2026-01-05T13:36:13.695Z,,2686,,2000,-686
"粗茶",GtqOGZOqIV,2026-01-05T13:16:04.480Z,,2000,,2494,494
"Hibari",gG60J3OV2j,2026-01-05T12:51:57.476Z,,2500,,2646,146
"utos",g0yui9LXM4,2026-01-05T12:25:47.245Z,2026-01-05T13:16:04.475Z,2400,2508,0,108
"るも",zQtsXjEaZl,2026-01-05T12:13:46.734Z,2026-01-05T12:49:13.007Z,2635,2200,0,-435
"らねおか",XaClitYV1x,2026-01-05T12:10:06.846Z,2026-01-05T12:50:07.278Z,2500,2390,0,-110
"teish",4kHSZklLpK,2026-01-05T11:54:20.166Z,2026-01-05T12:50:07.271Z,3220,2609,0,-611
"イナズマKすけ",3hUaqLSXt3,2026-01-05T11:45:35.908Z,,3467,1150,3130,813
"Milly",I3BHCf7xJG,2026-01-05T11:45:35.883Z,2026-01-05T13:16:04.471Z,5009,4428,0,-581
"MAX",7htETinMJU,2026-01-05T11:45:35.886Z,2026-01-05T14:01:38.570Z,2500,4851,0,2351
"teish",4kHSZklLpK,2026-01-05T11:45:35.900Z,2026-01-05T11:51:05.559Z,2000,0,0,-2000
"とーち",OCY4-ehNwS,2026-01-05T11:45:35.892Z,,2500,,3011,511
