entry,at,order
"-- ending hand #116 --",2026-01-05T14:02:23.675Z,176762174367502
"""イナズマKすけ @ 3hUaqLSXt3"" collected 120 from pot",2026-01-05T14:02:23.675Z,176762174367501
"Uncalled bet of 60 returned to ""イナズマKすけ @ 3hUaqLSXt3""",2026-01-05T14:02:23.675Z,176762174367500
"""粗茶 @ GtqOGZOqIV"" folds",2026-01-05T14:02:22.760Z,176762174276000
"""イナズマKすけ @ 3hUaqLSXt3"" bets 60",2026-01-05T14:02:18.457Z,176762173845700
"Flop:  [4♠, 4♦, A♦]",2026-01-05T14:01:53.613Z,176762171361300
"""粗茶 @ GtqOGZOqIV"" calls 60",2026-01-05T14:01:52.810Z,176762171281000
"The admin ""とーち @ OCY4-ehNwS"" enqueued the game stop on next hand.",2026-01-05T14:01:48.741Z,176762170874100
"""イナズマKすけ @ 3hUaqLSXt3"" raises to 60",2026-01-05T14:01:48.103Z,176762170810300
"""Hibari @ gG60J3OV2j"" folds",2026-01-05T14:01:44.254Z,176762170425400
"""ポリネシアンアム @ Noig3n81r2"" folds",2026-01-05T14:01:43.242Z,176762170324200
"""とーち @ OCY4-ehNwS"" folds",2026-01-05T14:01:42.209Z,176762170220900
"""粗茶 @ GtqOGZOqIV"" posts a big blind of 20",2026-01-05T14:01:38.565Z,176762169856509
"""イナズマKすけ @ 3hUaqLSXt3"" posts a small blind of 10",2026-01-05T14:01:38.565Z,176762169856508
"Player stacks: #3 ""粗茶 @ GtqOGZOqIV"" (2554) | #6 ""とーち @ OCY4-ehNwS"" (3011) | #7 ""ポリネシアンアム @ Noig3n81r2"" (2000) | #8 ""Hibari @ gG60J3OV2j"" (2646) | #10 ""イナズマKすけ @ 3hUaqLSXt3"" (3070)",2026-01-05T14:01:38.565Z,176762169856502
"-- starting hand #116 (id: dbzdigggfnak)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2026-01-05T14:01:38.565Z,176762169856501
"The player ""MAX @ 7htETinMJU"" quits the game with a stack of 3251.",2026-01-05T14:01:38.565Z,176762169856500
"-- ending hand #115 --",2026-01-05T14:01:32.557Z,176762169255702
"""イナズマKすけ @ 3hUaqLSXt3"" collected 370 from pot with Pair, A's (combination: A♣, A♥, K♦, J♣, 6♣)",2026-01-05T14:01:32.557Z,176762169255701
"""イナズマKすけ @ 3hUaqLSXt3"" shows a 6♣, A♣.",2026-01-05T14:01:32.557Z,176762169255700
"""とーち @ OCY4-ehNwS"" checks",2026-01-05T14:01:31.713Z,176762169171300
"""イナズマKすけ @ 3hUaqLSXt3"" checks",2026-01-05T14:01:24.430Z,176762168443000
"River: A♥, 3♥, K♦, J♣ [5♥]",2026-01-05T14:01:13.940Z,176762167394000
"""とーち @ OCY4-ehNwS"" checks",2026-01-05T14:01:13.069Z,176762167306900
"""イナズマKすけ @ 3hUaqLSXt3"" checks",2026-01-05T14:00:40.321Z,176762164032100
"Turn: A♥, 3♥, K♦ [J♣]",2026-01-05T14:00:37.460Z,176762163746000
"""イナズマKすけ @ 3hUaqLSXt3"" calls 130",2026-01-05T14:00:36.643Z,176762163664300
"""とーち @ OCY4-ehNwS"" bets 130",2026-01-05T13:59:54.425Z,176762159442500
"""イナズマKすけ @ 3hUaqLSXt3"" checks",2026-01-05T13:59:01.031Z,176762154103100
"Flop:  [A♥, 3♥, K♦]",2026-01-05T13:58:57.537Z,176762153753700
"""イナズマKすけ @ 3hUaqLSXt3"" calls 50",2026-01-05T13:58:56.715Z,176762153671500
"""Hibari @ gG60J3OV2j"" folds",2026-01-05T13:58:50.404Z,176762153040400
"""ポリネシアンアム @ Noig3n81r2"" folds",2026-01-05T13:58:48.527Z,176762152852700
"""とーち @ OCY4-ehNwS"" raises to 50",2026-01-05T13:58:47.426Z,176762152742600
"""MAX @ 7htETinMJU"" folds",2026-01-05T13:58:43.740Z,176762152374000
"""粗茶 @ GtqOGZOqIV"" folds",2026-01-05T13:58:33.241Z,176762151324100
"""イナズマKすけ @ 3hUaqLSXt3"" posts a big blind of 20",2026-01-05T13:58:31.583Z,176762151158309
"""Hibari @ gG60J3OV2j"" posts a small blind of 10",2026-01-05T13:58:31.583Z,176762151158308
"Player stacks: #3 ""粗茶 @ GtqOGZOqIV"" (2554) | #5 ""MAX @ 7htETinMJU"" (3251) | #6 ""とーち @ OCY4-ehNwS"" (3191) | #7 ""ポリネシアンアム @ Noig3n81r2"" (2000) | #8 ""Hibari @ gG60J3OV2j"" (2656) | #10 ""イナズマKすけ @ 3hUaqLSXt3"" (2880)",2026-01-05T13:58:31.583Z,176762151158301
"-- starting hand #115 (id: yg3sjupmibtb)  (No Limit Texas Hold'em) (dealer: ""ポリネシアンアム @ Noig3n81r2"") --",2026-01-05T13:58:31.583Z,176762151158300
"-- ending hand #114 --",2026-01-05T13:58:28.665Z,176762150866502
"""イナズマKすけ @ 3hUaqLSXt3"" collected 270 from pot",2026-01-05T13:58:28.665Z,176762150866501
"Uncalled bet of 202 returned to ""イナズマKすけ @ 3hUaqLSXt3""",2026-01-05T13:58:28.665Z,176762150866500
"""とーち @ OCY4-ehNwS"" folds",2026-01-05T13:58:27.857Z,176762150785700
"""イナズマKすけ @ 3hUaqLSXt3"" bets 202",2026-01-05T13:58:12.954Z,176762149295400
"Turn: 4♣, 4♠, 5♣ [5♠]",2026-01-05T13:57:28.139Z,176762144813900
"""とーち @ OCY4-ehNwS"" checks",2026-01-05T13:57:27.258Z,176762144725800
"""イナズマKすけ @ 3hUaqLSXt3"" checks",2026-01-05T13:57:08.573Z,176762142857300
"Flop:  [4♣, 4♠, 5♣]",2026-01-05T13:57:05.798Z,176762142579800
"""イナズマKすけ @ 3hUaqLSXt3"" calls 120",2026-01-05T13:57:04.993Z,176762142499300
"""Hibari @ gG60J3OV2j"" folds",2026-01-05T13:56:50.815Z,176762141081500
"""ポリネシアンアム @ Noig3n81r2"" folds",2026-01-05T13:56:49.793Z,176762140979300
"""とーち @ OCY4-ehNwS"" raises to 120",2026-01-05T13:56:48.782Z,176762140878200
"""MAX @ 7htETinMJU"" folds",2026-01-05T13:56:41.014Z,176762140101400
"""粗茶 @ GtqOGZOqIV"" folds",2026-01-05T13:56:39.986Z,176762139998600
"""イナズマKすけ @ 3hUaqLSXt3"" raises to 40",2026-01-05T13:56:38.908Z,176762139890800
"""Hibari @ gG60J3OV2j"" posts a big blind of 20",2026-01-05T13:56:32.362Z,176762139236209
"""ポリネシアンアム @ Noig3n81r2"" posts a small blind of 10",2026-01-05T13:56:32.362Z,176762139236208
