player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"りく",z2lKOiJnrt,2026-01-12T13:40:05.719Z,,2000,,2520,520
"LostLamb",nZVZhqDbpq,2026-01-12T11:58:31.899Z,2026-01-12T13:08:44.475Z,6152,3169,0,-2983
"Hibari",gG60J3OV2j,2026-01-12T11:35:45.257Z,,3662,,2447,-1215
"とーち",ZFo02uupTt,2026-01-12T11:15:16.846Z,2026-01-12T11:31:10.965Z,2500,2270,0,-230
"らねおか",8c-0KqOKP1,2026-01-12T11:04:57.520Z,,4030,4855,2480,3305
"イナズマKすけ",wO4Vw2dQ8t,2026-01-12T11:04:57.518Z,2026-01-12T11:31:10.962Z,2500,2910,0,410
"すとふぁ",vdNIJNJGUU,2026-01-12T11:01:03.210Z,,3852,1625,1905,-322
"Sabosuke",Kyu60mEERY,2026-01-12T11:01:03.251Z,2026-01-12T12:07:37.276Z,2500,3065,0,565
"mo'",HvUX-t1f2L,2026-01-12T11:01:03.235Z,,2500,1191,2990,1681
"粗茶",bNly8KJUYD,2026-01-12T11:01:03.263Z,2026-01-12T12:53:12.045Z,3406,4530,0,1124
"ノガード",WtIP2AbI23,2026-01-12T11:01:03.205Z,,5425,,2570,-2855
