entry,at,order
"-- ending hand #179 --",2026-01-12T14:00:52.019Z,176822645201902
"""mo' @ HvUX-t1f2L"" collected 190 from pot with Two Pair, 9's & 6's (combination: 9♦, 9♥, 6♠, 6♦, Q♠)",2026-01-12T14:00:52.019Z,176822645201901
"""mo' @ HvUX-t1f2L"" shows a 6♠, Q♠.",2026-01-12T14:00:52.019Z,176822645201900
"""りく @ z2lKOiJnrt"" calls 40",2026-01-12T14:00:51.178Z,176822645117800
"""mo' @ HvUX-t1f2L"" bets 40",2026-01-12T14:00:40.523Z,176822644052300
"River: 9♦, 8♣, 6♦, 5♥ [9♥]",2026-01-12T14:00:09.185Z,176822640918500
"""りく @ z2lKOiJnrt"" checks",2026-01-12T14:00:08.371Z,176822640837100
"""mo' @ HvUX-t1f2L"" checks",2026-01-12T14:00:05.477Z,176822640547700
"Turn: 9♦, 8♣, 6♦ [5♥]",2026-01-12T14:00:01.876Z,176822640187600
"""りく @ z2lKOiJnrt"" checks",2026-01-12T14:00:01.001Z,176822640100100
"""mo' @ HvUX-t1f2L"" checks",2026-01-12T13:59:58.469Z,176822639846900
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2026-01-12T13:59:55.921Z,176822639592100
"Flop:  [9♦, 8♣, 6♦]",2026-01-12T13:59:51.488Z,176822639148800
"""mo' @ HvUX-t1f2L"" calls 50",2026-01-12T13:59:50.665Z,176822639066500
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-12T13:59:47.788Z,176822638778800
"""Hibari @ gG60J3OV2j"" folds",2026-01-12T13:59:46.712Z,176822638671200
"""りく @ z2lKOiJnrt"" raises to 50",2026-01-12T13:59:45.573Z,176822638557300
"""らねおか @ 8c-0KqOKP1"" folds",2026-01-12T13:59:39.644Z,176822637964400
"""ノガード @ WtIP2AbI23"" folds",2026-01-12T13:59:38.627Z,176822637862700
"""mo' @ HvUX-t1f2L"" posts a big blind of 20",2026-01-12T13:59:35.878Z,176822637587810
"""すとふぁ @ vdNIJNJGUU"" posts a small blind of 10",2026-01-12T13:59:35.878Z,176822637587809
"Player stacks: #1 ""ノガード @ WtIP2AbI23"" (2570) | #2 ""らねおか @ 8c-0KqOKP1"" (2480) | #3 ""りく @ z2lKOiJnrt"" (2610) | #4 ""Hibari @ gG60J3OV2j"" (2447) | #5 ""すとふぁ @ vdNIJNJGUU"" (1915) | #6 ""mo' @ HvUX-t1f2L"" (2890)",2026-01-12T13:59:35.878Z,176822637587802
"-- starting hand #179 (id: c8p9zaxepsom)  (No Limit Texas Hold'em) (dealer: ""Hibari @ gG60J3OV2j"") --",2026-01-12T13:59:35.878Z,176822637587801
"The player ""りく @ z2lKOiJnrt"" joined the game with a stack of 2610.",2026-01-12T13:59:35.878Z,176822637587800
"-- ending hand #178 --",2026-01-12T13:59:29.873Z,176822636987303
"""ノガード @ WtIP2AbI23"" collected 180 from pot with Two Pair, 10's & 4's (combination: 10♠, 10♥, 4♥, 4♦, J♦)",2026-01-12T13:59:29.873Z,176822636987302
"""ノガード @ WtIP2AbI23"" shows a 4♥, 4♦.",2026-01-12T13:59:29.873Z,176822636987301
"""すとふぁ @ vdNIJNJGUU"" shows a A♣, 4♣.",2026-01-12T13:59:29.873Z,176822636987300
"""ノガード @ WtIP2AbI23"" checks",2026-01-12T13:59:29.065Z,176822636906500
"""すとふぁ @ vdNIJNJGUU"" checks",2026-01-12T13:59:17.355Z,176822635735500
"River: 10♠, 6♥, 10♥, 5♥ [J♦]",2026-01-12T13:58:54.750Z,176822633475000
"""ノガード @ WtIP2AbI23"" checks",2026-01-12T13:58:53.922Z,176822633392200
"""すとふぁ @ vdNIJNJGUU"" checks",2026-01-12T13:58:51.944Z,176822633194400
"Turn: 10♠, 6♥, 10♥ [5♥]",2026-01-12T13:58:46.913Z,176822632691300
"""すとふぁ @ vdNIJNJGUU"" calls 35",2026-01-12T13:58:46.087Z,176822632608700
"""ノガード @ WtIP2AbI23"" bets 35",2026-01-12T13:58:41.343Z,176822632134300
"""すとふぁ @ vdNIJNJGUU"" checks",2026-01-12T13:58:33.162Z,176822631316200
"Flop:  [10♠, 6♥, 10♥]",2026-01-12T13:58:29.907Z,176822630990700
"""すとふぁ @ vdNIJNJGUU"" calls 50",2026-01-12T13:58:29.061Z,176822630906100
"""Hibari @ gG60J3OV2j"" folds",2026-01-12T13:58:27.248Z,176822630724800
"""らねおか @ 8c-0KqOKP1"" folds",2026-01-12T13:58:26.164Z,176822630616400
