entry,at,order
"The player ""たか＆とし @ 8VMvBRQFHc"" quits the game with a stack of 2060.",2026-01-12T14:33:53.869Z,176822843386900
"-- ending hand #157 --",2026-01-12T13:58:29.907Z,176822630990702
"""ばどえあー @ WjqaCs8A5o"" collected 50 from pot",2026-01-12T13:58:29.907Z,176822630990701
"Uncalled bet of 30 returned to ""ばどえあー @ WjqaCs8A5o""",2026-01-12T13:58:29.907Z,176822630990700
"""Doc @ QdL8xRwatP"" folds",2026-01-12T13:58:29.078Z,176822630907800
"""とーち @ ZFo02uupTt"" folds",2026-01-12T13:58:27.450Z,176822630745000
"""ばどえあー @ WjqaCs8A5o"" raises to 50",2026-01-12T13:58:26.423Z,176822630642300
"""たか＆とし @ 8VMvBRQFHc"" folds",2026-01-12T13:58:15.876Z,176822629587600
"""Hibari @ gG60J3OV2j"" folds",2026-01-12T13:58:12.604Z,176822629260400
"""ナカヤマ @ LgKolQ4UDh"" folds",2026-01-12T13:58:11.445Z,176822629144500
"The admin ""とーち @ ZFo02uupTt"" enqueued the game stop on next hand.",2026-01-12T13:58:10.499Z,176822629049900
"""Doc @ QdL8xRwatP"" posts a big blind of 20",2026-01-12T13:58:01.837Z,176822628183709
"""とーち @ ZFo02uupTt"" posts a small blind of 10",2026-01-12T13:58:01.837Z,176822628183708
"Player stacks: #1 ""とーち @ ZFo02uupTt"" (2761) | #2 ""Doc @ QdL8xRwatP"" (1960) | #3 ""ナカヤマ @ LgKolQ4UDh"" (2035) | #5 ""Hibari @ gG60J3OV2j"" (2162) | #7 ""たか＆とし @ 8VMvBRQFHc"" (2060) | #9 ""ばどえあー @ WjqaCs8A5o"" (2615)",2026-01-12T13:58:01.837Z,176822628183701
"-- starting hand #157 (id: dhctkzdltltq)  (No Limit Texas Hold'em) (dealer: ""ばどえあー @ WjqaCs8A5o"") --",2026-01-12T13:58:01.837Z,176822628183700
"-- ending hand #156 --",2026-01-12T13:57:58.870Z,176822627887002
"""とーち @ ZFo02uupTt"" collected 20 from pot",2026-01-12T13:57:58.870Z,176822627887001
"Uncalled bet of 10 returned to ""とーち @ ZFo02uupTt""",2026-01-12T13:57:58.870Z,176822627887000
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-12T13:57:58.065Z,176822627806500
