entry,at,order
"The player ""ゴン02（江戸犬） @ X2HiN5-cFQ"" quits the game with a stack of 3303.",2026-01-19T14:01:29.927Z,176883128992700
"-- ending hand #213 --",2026-01-19T14:00:48.463Z,176883124846303
"""Kuni @ 3FatmzAl-m"" collected 260 from pot with Pair, 10's (combination: 10♣, 10♦, A♦, 9♥, 7♦)",2026-01-19T14:00:48.463Z,176883124846302
"""Kuni @ 3FatmzAl-m"" shows a 2♣, 10♣.",2026-01-19T14:00:48.463Z,176883124846301
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" shows a Q♥, J♥.",2026-01-19T14:00:48.463Z,176883124846300
"""Kuni @ 3FatmzAl-m"" calls 75",2026-01-19T14:00:47.616Z,176883124761600
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" bets 75",2026-01-19T14:00:45.447Z,176883124544700
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T14:00:38.307Z,176883123830700
"River: 7♦, A♦, 10♦, 6♠ [9♥]",2026-01-19T14:00:35.726Z,176883123572600
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" checks",2026-01-19T14:00:34.899Z,176883123489900
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T14:00:27.687Z,176883122768700
"Turn: 7♦, A♦, 10♦ [6♠]",2026-01-19T14:00:25.961Z,176883122596100
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" checks",2026-01-19T14:00:25.132Z,176883122513200
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T14:00:18.962Z,176883121896200
"Flop:  [7♦, A♦, 10♦]",2026-01-19T14:00:15.991Z,176883121599100
"""Kuni @ 3FatmzAl-m"" calls 50",2026-01-19T14:00:15.166Z,176883121516600
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T14:00:13.096Z,176883121309600
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" raises to 50",2026-01-19T14:00:12.024Z,176883121202400
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T14:00:02.211Z,176883120221100
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T14:00:00.798Z,176883120079800
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:59:59.672Z,176883119967200
"The admin ""ノガード @ WtIP2AbI23"" enqueued the game stop on next hand.",2026-01-19T13:59:59.272Z,176883119927200
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:59:58.251Z,176883119825100
"""Kuni @ 3FatmzAl-m"" posts a big blind of 20",2026-01-19T13:59:56.121Z,176883119612111
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-01-19T13:59:56.121Z,176883119612110
"Player stacks: #2 ""ゆうま @ MI-fYAoFiY"" (1960) | #3 ""Kuni @ 3FatmzAl-m"" (4017) | #4 ""ばどえあー @ WjqaCs8A5o"" (2000) | #7 ""Ene @ 6N30cpGlP_"" (3107) | #8 ""ノガード @ WtIP2AbI23"" (2780) | #9 ""すとふぁ @ vdNIJNJGUU"" (2690) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (3428)",2026-01-19T13:59:56.121Z,176883119612102
"-- starting hand #213 (id: yvh3yoso2hbn)  (No Limit Texas Hold'em) (dealer: ""ゴン02（江戸犬） @ X2HiN5-cFQ"") --",2026-01-19T13:59:56.121Z,176883119612101
"The admin updated the player ""ばどえあー @ WjqaCs8A5o"" stack from 1500 to 2000.",2026-01-19T13:59:56.121Z,176883119612100
"""Kuni @ 3FatmzAl-m"" shows a 7♣, 7♦.",2026-01-19T13:59:54.756Z,176883119475600
"""Ene @ 6N30cpGlP_"" shows a Q♠, K♦.",2026-01-19T13:59:52.877Z,176883119287700
"-- ending hand #212 --",2026-01-19T13:59:51.771Z,176883119177102
"""Kuni @ 3FatmzAl-m"" collected 130 from pot",2026-01-19T13:59:51.771Z,176883119177101
"Uncalled bet of 50 returned to ""Kuni @ 3FatmzAl-m""",2026-01-19T13:59:51.771Z,176883119177100
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:59:50.931Z,176883119093100
"""Kuni @ 3FatmzAl-m"" bets 50",2026-01-19T13:59:27.528Z,176883116752800
"Flop:  [6♣, 8♦, 5♥]",2026-01-19T13:59:21.487Z,176883116148700
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:59:20.635Z,176883116063500
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:59:18.787Z,176883115878700
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:59:17.768Z,176883115776800
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:59:16.670Z,176883115667000
"WARNING: the admin queued the stack change for the player ""ばどえあー @ WjqaCs8A5o"" reseting to 2000 chips in the next hand.",2026-01-19T13:59:15.819Z,176883115581900
"""Ene @ 6N30cpGlP_"" calls 50",2026-01-19T13:59:15.590Z,176883115559000
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:59:14.520Z,176883115452000
"""Kuni @ 3FatmzAl-m"" raises to 50",2026-01-19T13:59:13.239Z,176883115323900
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-01-19T13:59:06.279Z,176883114627911
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" posts a small blind of 10",2026-01-19T13:59:06.279Z,176883114627910
"Player stacks: #2 ""ゆうま @ MI-fYAoFiY"" (1980) | #3 ""Kuni @ 3FatmzAl-m"" (3937) | #4 ""ばどえあー @ WjqaCs8A5o"" (1500) | #7 ""Ene @ 6N30cpGlP_"" (3157) | #8 ""ノガード @ WtIP2AbI23"" (2780) | #9 ""すとふぁ @ vdNIJNJGUU"" (2690) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (3438)",2026-01-19T13:59:06.279Z,176883114627902
"-- starting hand #212 (id: d0a3kpumywvh)  (No Limit Texas Hold'em) (dealer: ""すとふぁ @ vdNIJNJGUU"") --",2026-01-19T13:59:06.279Z,176883114627901
"The player ""らねおか @ XaClitYV1x"" quits the game with a stack of 2530.",2026-01-19T13:59:06.279Z,176883114627900
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" shows a K♥, A♦.",2026-01-19T13:59:05.146Z,176883114514600
"""ばどえあー @ WjqaCs8A5o"" shows a A♣, 5♣.",2026-01-19T13:59:03.306Z,176883114330600
"-- ending hand #211 --",2026-01-19T13:59:01.949Z,176883114194902
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" collected 1140 from pot",2026-01-19T13:59:01.949Z,176883114194901
"Uncalled bet of 2298 returned to ""ゴン02（江戸犬） @ X2HiN5-cFQ""",2026-01-19T13:59:01.949Z,176883114194900
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:59:01.120Z,176883114112000
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" raises to 2848 and go all in",2026-01-19T13:58:56.834Z,176883113683400
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:58:48.635Z,176883112863500
"""ばどえあー @ WjqaCs8A5o"" raises to 550",2026-01-19T13:58:46.782Z,176883112678200
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" raises to 270",2026-01-19T13:58:22.887Z,176883110288700
"""すとふぁ @ vdNIJNJGUU"" calls 40",2026-01-19T13:58:11.731Z,176883109173100
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:58:09.375Z,176883108937500
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:58:08.289Z,176883108828900
"""ばどえあー @ WjqaCs8A5o"" raises to 40",2026-01-19T13:58:07.105Z,176883108710500
"""Kuni @ 3FatmzAl-m"" folds",2026-01-19T13:58:03.139Z,176883108313900
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:58:01.785Z,176883108178500
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:58:00.177Z,176883108017700
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" posts a big blind of 20",2026-01-19T13:57:58.468Z,176883107846811
"""すとふぁ @ vdNIJNJGUU"" posts a small blind of 10",2026-01-19T13:57:58.468Z,176883107846810
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2530) | #2 ""ゆうま @ MI-fYAoFiY"" (1980) | #3 ""Kuni @ 3FatmzAl-m"" (3937) | #4 ""ばどえあー @ WjqaCs8A5o"" (2050) | #7 ""Ene @ 6N30cpGlP_"" (3157) | #8 ""ノガード @ WtIP2AbI23"" (2780) | #9 ""すとふぁ @ vdNIJNJGUU"" (2730) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2848)",2026-01-19T13:57:58.468Z,176883107846801
"-- starting hand #211 (id: lwaejkdszzqe)  (No Limit Texas Hold'em) (dealer: ""ノガード @ WtIP2AbI23"") --",2026-01-19T13:57:58.468Z,176883107846800
"-- ending hand #210 --",2026-01-19T13:57:55.541Z,176883107554102
"""ばどえあー @ WjqaCs8A5o"" collected 130 from pot",2026-01-19T13:57:55.541Z,176883107554101
"Uncalled bet of 110 returned to ""ばどえあー @ WjqaCs8A5o""",2026-01-19T13:57:55.541Z,176883107554100
"""Kuni @ 3FatmzAl-m"" folds",2026-01-19T13:57:54.736Z,176883107473600
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:57:53.699Z,176883107369900
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:57:52.632Z,176883107263200
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:57:51.606Z,176883107160600
"""ばどえあー @ WjqaCs8A5o"" raises to 160",2026-01-19T13:57:50.537Z,176883107053700
"""Kuni @ 3FatmzAl-m"" raises to 50",2026-01-19T13:57:42.339Z,176883106233900
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:57:38.547Z,176883105854700
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:57:37.519Z,176883105751900
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:57:36.488Z,176883105648800
"""すとふぁ @ vdNIJNJGUU"" posts a big blind of 20",2026-01-19T13:57:34.843Z,176883105484311
"""ノガード @ WtIP2AbI23"" posts a small blind of 10",2026-01-19T13:57:34.843Z,176883105484310
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2530) | #2 ""ゆうま @ MI-fYAoFiY"" (1980) | #3 ""Kuni @ 3FatmzAl-m"" (3987) | #4 ""ばどえあー @ WjqaCs8A5o"" (1970) | #7 ""Ene @ 6N30cpGlP_"" (3157) | #8 ""ノガード @ WtIP2AbI23"" (2790) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2848)",2026-01-19T13:57:34.843Z,176883105484301
"-- starting hand #210 (id: goddv2fk7huw)  (No Limit Texas Hold'em) (dealer: ""Ene @ 6N30cpGlP_"") --",2026-01-19T13:57:34.843Z,176883105484300
"-- ending hand #209 --",2026-01-19T13:57:31.925Z,176883105192502
"""ゆうま @ MI-fYAoFiY"" collected 50 from pot",2026-01-19T13:57:31.925Z,176883105192501
"Uncalled bet of 40 returned to ""ゆうま @ MI-fYAoFiY""",2026-01-19T13:57:31.925Z,176883105192500
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:57:31.068Z,176883105106800
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:57:28.999Z,176883104899900
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:57:27.907Z,176883104790700
"""Kuni @ 3FatmzAl-m"" folds",2026-01-19T13:57:25.879Z,176883104587900
"""ゆうま @ MI-fYAoFiY"" raises to 60",2026-01-19T13:57:23.840Z,176883104384000
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:57:20.500Z,176883104050000
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:57:17.020Z,176883103702000
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:57:15.995Z,176883103599500
"""ノガード @ WtIP2AbI23"" posts a big blind of 20",2026-01-19T13:57:12.961Z,176883103296111
"""Ene @ 6N30cpGlP_"" posts a small blind of 10",2026-01-19T13:57:12.961Z,176883103296110
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2530) | #2 ""ゆうま @ MI-fYAoFiY"" (1950) | #3 ""Kuni @ 3FatmzAl-m"" (3987) | #4 ""ばどえあー @ WjqaCs8A5o"" (1970) | #7 ""Ene @ 6N30cpGlP_"" (3167) | #8 ""ノガード @ WtIP2AbI23"" (2810) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2848)",2026-01-19T13:57:12.961Z,176883103296101
"-- starting hand #209 (id: wzbhfchnlhtb)  (No Limit Texas Hold'em) (dealer: ""ばどえあー @ WjqaCs8A5o"") --",2026-01-19T13:57:12.961Z,176883103296100
"-- ending hand #208 --",2026-01-19T13:57:10.026Z,176883103002602
"""Kuni @ 3FatmzAl-m"" collected 50 from pot",2026-01-19T13:57:10.026Z,176883103002601
"Uncalled bet of 40 returned to ""Kuni @ 3FatmzAl-m""",2026-01-19T13:57:10.026Z,176883103002600
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:57:09.162Z,176883102916200
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:57:08.055Z,176883102805500
"""Kuni @ 3FatmzAl-m"" raises to 60",2026-01-19T13:57:02.700Z,176883102270000
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:56:53.863Z,176883101386300
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:56:52.836Z,176883101283600
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:56:51.843Z,176883101184300
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:56:50.819Z,176883101081900
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:56:49.693Z,176883100969300
"""Ene @ 6N30cpGlP_"" posts a big blind of 20",2026-01-19T13:56:47.048Z,176883100704811
"""ばどえあー @ WjqaCs8A5o"" posts a small blind of 10",2026-01-19T13:56:47.048Z,176883100704810
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2530) | #2 ""ゆうま @ MI-fYAoFiY"" (1950) | #3 ""Kuni @ 3FatmzAl-m"" (3957) | #4 ""ばどえあー @ WjqaCs8A5o"" (1980) | #7 ""Ene @ 6N30cpGlP_"" (3187) | #8 ""ノガード @ WtIP2AbI23"" (2810) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2848)",2026-01-19T13:56:47.048Z,176883100704801
"-- starting hand #208 (id: 2xv6tavloprg)  (No Limit Texas Hold'em) (dealer: ""Kuni @ 3FatmzAl-m"") --",2026-01-19T13:56:47.048Z,176883100704800
"-- ending hand #207 --",2026-01-19T13:56:44.127Z,176883100412702
"""らねおか @ XaClitYV1x"" collected 110 from pot",2026-01-19T13:56:44.127Z,176883100412701
"Uncalled bet of 82 returned to ""らねおか @ XaClitYV1x""",2026-01-19T13:56:44.127Z,176883100412700
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:56:43.246Z,176883100324600
"""らねおか @ XaClitYV1x"" bets 82",2026-01-19T13:56:39.812Z,176883099981200
"""ばどえあー @ WjqaCs8A5o"" checks",2026-01-19T13:56:19.444Z,176883097944400
"Turn: 3♠, J♠, 2♥ [Q♣]",2026-01-19T13:56:09.501Z,176883096950100
"""らねおか @ XaClitYV1x"" checks",2026-01-19T13:56:08.692Z,176883096869200
"""ばどえあー @ WjqaCs8A5o"" checks",2026-01-19T13:56:07.687Z,176883096768700
"Flop:  [3♠, J♠, 2♥]",2026-01-19T13:56:04.100Z,176883096410000
"""ばどえあー @ WjqaCs8A5o"" calls 50",2026-01-19T13:56:03.275Z,176883096327500
"""Kuni @ 3FatmzAl-m"" folds",2026-01-19T13:55:59.331Z,176883095933100
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:55:57.789Z,176883095778900
"""らねおか @ XaClitYV1x"" raises to 50",2026-01-19T13:55:56.247Z,176883095624700
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:55:50.789Z,176883095078900
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:55:49.786Z,176883094978600
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:55:48.662Z,176883094866200
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:55:47.638Z,176883094763800
"""ばどえあー @ WjqaCs8A5o"" posts a big blind of 20",2026-01-19T13:55:44.567Z,176883094456711
"""Kuni @ 3FatmzAl-m"" posts a small blind of 10",2026-01-19T13:55:44.567Z,176883094456710
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2470) | #2 ""ゆうま @ MI-fYAoFiY"" (1950) | #3 ""Kuni @ 3FatmzAl-m"" (3967) | #4 ""ばどえあー @ WjqaCs8A5o"" (2030) | #7 ""Ene @ 6N30cpGlP_"" (3187) | #8 ""ノガード @ WtIP2AbI23"" (2810) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2848)",2026-01-19T13:55:44.567Z,176883094456701
"-- starting hand #207 (id: cnpblymfkjr2)  (No Limit Texas Hold'em) (dealer: ""ゆうま @ MI-fYAoFiY"") --",2026-01-19T13:55:44.567Z,176883094456700
"-- ending hand #206 --",2026-01-19T13:55:38.561Z,176883093856102
"""Kuni @ 3FatmzAl-m"" collected 244 from pot with Pair, 5's (combination: 5♦, 5♣, K♠, Q♣, J♦)",2026-01-19T13:55:38.561Z,176883093856101
"""Kuni @ 3FatmzAl-m"" shows a 5♦, K♠.",2026-01-19T13:55:38.561Z,176883093856100
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" checks",2026-01-19T13:55:37.664Z,176883093766400
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T13:55:29.564Z,176883092956400
"River: 5♣, 3♣, 2♦, Q♣ [J♦]",2026-01-19T13:55:27.552Z,176883092755200
"""Kuni @ 3FatmzAl-m"" calls 71",2026-01-19T13:55:26.718Z,176883092671800
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" bets 71",2026-01-19T13:55:24.095Z,176883092409500
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T13:55:17.845Z,176883091784500
"Turn: 5♣, 3♣, 2♦ [Q♣]",2026-01-19T13:55:16.149Z,176883091614900
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" checks",2026-01-19T13:55:15.333Z,176883091533300
"""Kuni @ 3FatmzAl-m"" checks",2026-01-19T13:55:09.634Z,176883090963400
"Flop:  [5♣, 3♣, 2♦]",2026-01-19T13:55:07.373Z,176883090737300
"""Kuni @ 3FatmzAl-m"" calls 46",2026-01-19T13:55:06.559Z,176883090655900
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:55:04.158Z,176883090415800
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:55:03.015Z,176883090301500
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" raises to 46",2026-01-19T13:54:56.078Z,176883089607800
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:54:48.958Z,176883088895800
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:54:47.902Z,176883088790200
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:54:46.887Z,176883088688700
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:54:41.549Z,176883088154900
"""Kuni @ 3FatmzAl-m"" posts a big blind of 20",2026-01-19T13:54:40.040Z,176883088004011
"""ゆうま @ MI-fYAoFiY"" posts a small blind of 10",2026-01-19T13:54:40.040Z,176883088004010
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2470) | #2 ""ゆうま @ MI-fYAoFiY"" (1960) | #3 ""Kuni @ 3FatmzAl-m"" (3840) | #4 ""ばどえあー @ WjqaCs8A5o"" (2030) | #7 ""Ene @ 6N30cpGlP_"" (3187) | #8 ""ノガード @ WtIP2AbI23"" (2810) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2965)",2026-01-19T13:54:40.040Z,176883088004001
"-- starting hand #206 (id: npwvax6nuqk3)  (No Limit Texas Hold'em) (dealer: ""らねおか @ XaClitYV1x"") --",2026-01-19T13:54:40.040Z,176883088004000
"-- ending hand #205 --",2026-01-19T13:54:37.129Z,176883087712902
"""ばどえあー @ WjqaCs8A5o"" collected 50 from pot",2026-01-19T13:54:37.129Z,176883087712901
"Uncalled bet of 20 returned to ""ばどえあー @ WjqaCs8A5o""",2026-01-19T13:54:37.129Z,176883087712900
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:54:36.314Z,176883087631400
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:54:35.297Z,176883087529700
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:54:34.278Z,176883087427800
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:54:33.190Z,176883087319000
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:54:32.113Z,176883087211300
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:54:31.100Z,176883087110000
"""ばどえあー @ WjqaCs8A5o"" raises to 40",2026-01-19T13:54:29.965Z,176883086996500
"""Kuni @ 3FatmzAl-m"" folds",2026-01-19T13:54:25.533Z,176883086553300
"""ゆうま @ MI-fYAoFiY"" posts a big blind of 20",2026-01-19T13:54:22.495Z,176883086249511
"""らねおか @ XaClitYV1x"" posts a small blind of 10",2026-01-19T13:54:22.495Z,176883086249510
"Player stacks: #1 ""らねおか @ XaClitYV1x"" (2480) | #2 ""ゆうま @ MI-fYAoFiY"" (1980) | #3 ""Kuni @ 3FatmzAl-m"" (3840) | #4 ""ばどえあー @ WjqaCs8A5o"" (2000) | #7 ""Ene @ 6N30cpGlP_"" (3187) | #8 ""ノガード @ WtIP2AbI23"" (2810) | #9 ""すとふぁ @ vdNIJNJGUU"" (2750) | #10 ""ゴン02（江戸犬） @ X2HiN5-cFQ"" (2965)",2026-01-19T13:54:22.495Z,176883086249501
"-- starting hand #205 (id: w2i4b2hfqv7f)  (No Limit Texas Hold'em) (dealer: ""ゴン02（江戸犬） @ X2HiN5-cFQ"") --",2026-01-19T13:54:22.495Z,176883086249500
"-- ending hand #204 --",2026-01-19T13:54:19.577Z,176883085957702
"""Kuni @ 3FatmzAl-m"" collected 50 from pot",2026-01-19T13:54:19.577Z,176883085957701
"Uncalled bet of 30 returned to ""Kuni @ 3FatmzAl-m""",2026-01-19T13:54:19.577Z,176883085957700
"""らねおか @ XaClitYV1x"" folds",2026-01-19T13:54:18.765Z,176883085876500
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" folds",2026-01-19T13:54:17.764Z,176883085776400
"""すとふぁ @ vdNIJNJGUU"" folds",2026-01-19T13:54:16.705Z,176883085670500
"""ノガード @ WtIP2AbI23"" folds",2026-01-19T13:54:15.681Z,176883085568100
"""Ene @ 6N30cpGlP_"" folds",2026-01-19T13:54:14.655Z,176883085465500
"""ばどえあー @ WjqaCs8A5o"" folds",2026-01-19T13:54:13.551Z,176883085355100
"""Kuni @ 3FatmzAl-m"" raises to 50",2026-01-19T13:54:11.804Z,176883085180400
"""ゆうま @ MI-fYAoFiY"" folds",2026-01-19T13:54:04.815Z,176883084481500
"""らねおか @ XaClitYV1x"" posts a big blind of 20",2026-01-19T13:54:03.173Z,176883084317312
"""ゴン02（江戸犬） @ X2HiN5-cFQ"" posts a small blind of 10",2026-01-19T13:54:03.173Z,176883084317311
