player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"sigma",yHZrsG6l5j,2026-01-19T13:08:57.805Z,,3073,,2000,-1073
"utos",g0yui9LXM4,2026-01-19T11:57:19.273Z,2026-01-19T14:00:22.724Z,2400,3515,0,1115
"Neku",HZmCRZd6SG,2026-01-19T11:14:33.572Z,2026-01-19T14:00:43.864Z,3000,3258,0,258
"Sky",Lx-JfyAGSv,2026-01-19T11:12:03.584Z,2026-01-19T11:36:15.921Z,2000,2450,0,450
"くま",cpr364TXsN,2026-01-19T11:09:59.697Z,2026-01-19T13:06:18.625Z,2500,2822,0,322
"Hibari",gG60J3OV2j,2026-01-19T11:07:05.474Z,2026-01-19T13:48:25.078Z,27217,23638,0,-3579
"Yu.",D0RgrTLvZk,2026-01-19T11:06:17.308Z,2026-01-19T14:00:22.721Z,3000,4916,0,1916
"utos",g0yui9LXM4,2026-01-19T11:06:17.312Z,2026-01-19T11:38:56.820Z,2400,3163,0,763
"粗茶",GtqOGZOqIV,2026-01-19T11:06:17.310Z,2026-01-19T12:15:55.061Z,2000,2186,0,186
"arash!",k5rEzFp2MR,2026-01-19T11:06:17.305Z,,3000,,2642,-358
