entry,at,order
"The player ""Neku @ HZmCRZd6SG"" quits the game with a stack of 3258.",2026-01-19T14:00:43.860Z,176883124386000
"-- ending hand #185 --",2026-01-19T14:00:40.923Z,176883124092302
"""arash! @ k5rEzFp2MR"" collected 20 from pot",2026-01-19T14:00:40.923Z,176883124092301
"Uncalled bet of 10 returned to ""arash! @ k5rEzFp2MR""",2026-01-19T14:00:40.923Z,176883124092300
"""Neku @ HZmCRZd6SG"" folds",2026-01-19T14:00:40.037Z,176883124003700
"The admin ""arash! @ k5rEzFp2MR"" enqueued the game stop on next hand.",2026-01-19T14:00:37.699Z,176883123769900
"""arash! @ k5rEzFp2MR"" posts a big blind of 20",2026-01-19T14:00:22.713Z,176883122271309
"""Neku @ HZmCRZd6SG"" posts a small blind of 10",2026-01-19T14:00:22.713Z,176883122271308
"Player stacks: #1 ""Neku @ HZmCRZd6SG"" (3268) | #2 ""arash! @ k5rEzFp2MR"" (2632)",2026-01-19T14:00:22.713Z,176883122271305
"-- starting hand #185 (id: fv9xgadvjncg)  (No Limit Texas Hold'em) (dealer: ""Neku @ HZmCRZd6SG"") --",2026-01-19T14:00:22.713Z,176883122271304
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 3515.",2026-01-19T14:00:22.713Z,176883122271303
"The player ""Yu. @ D0RgrTLvZk"" quits the game with a stack of 2990.",2026-01-19T14:00:22.713Z,176883122271302
"The player ""sigma @ yHZrsG6l5j"" stand up with the stack of 2000.",2026-01-19T14:00:22.713Z,176883122271301
"The admin updated the player ""sigma @ yHZrsG6l5j"" stack from 1427 to 2000.",2026-01-19T14:00:22.713Z,176883122271300
"-- ending hand #184 --",2026-01-19T14:00:16.705Z,176883121670502
"""Neku @ HZmCRZd6SG"" collected 130 from pot with Two Pair, A's & 10's (combination: A♣, A♠, 10♥, 10♣, K♠)",2026-01-19T14:00:16.705Z,176883121670501
"""Neku @ HZmCRZd6SG"" shows a K♠, 10♥.",2026-01-19T14:00:16.705Z,176883121670500
"""arash! @ k5rEzFp2MR"" checks",2026-01-19T14:00:15.902Z,176883121590200
"""Neku @ HZmCRZd6SG"" checks",2026-01-19T14:00:14.892Z,176883121489200
"River: 5♦, A♣, 10♣, Q♦ [A♠]",2026-01-19T14:00:05.307Z,176883120530700
"""arash! @ k5rEzFp2MR"" checks",2026-01-19T14:00:04.398Z,176883120439800
"""Neku @ HZmCRZd6SG"" checks",2026-01-19T14:00:00.716Z,176883120071600
"Turn: 5♦, A♣, 10♣ [Q♦]",2026-01-19T13:59:49.368Z,176883118936800
