player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ナカヤマ",LgKolQ4UDh,2026-01-19T13:28:34.032Z,2026-01-19T14:00:15.692Z,2000,4592,0,2592
"Kay",5v7PwEvIAz,2026-01-19T11:59:10.202Z,2026-01-19T14:00:10.604Z,1500,2190,0,690
"Hibari",gG60J3OV2j,2026-01-19T11:43:15.768Z,2026-01-19T13:44:07.156Z,3436,2200,0,-1236
"らねおか",XaClitYV1x,2026-01-19T11:38:54.985Z,2026-01-19T13:49:15.642Z,2500,0,0,-2500
"stshin",Q2j8jaLDDn,2026-01-19T11:22:40.857Z,2026-01-19T14:00:25.690Z,3000,6467,0,3467
"Hibari",gG60J3OV2j,2026-01-19T11:20:40.153Z,2026-01-19T11:38:54.977Z,2500,0,0,-2500
"utos",g0yui9LXM4,2026-01-19T11:19:37.920Z,2026-01-19T14:00:10.590Z,2400,2632,0,232
"イナズマKすけ",wO4Vw2dQ8t,2026-01-19T11:18:08.107Z,2026-01-19T11:38:54.982Z,2000,4725,0,2725
"粗茶",GtqOGZOqIV,2026-01-19T11:18:08.102Z,2026-01-19T12:16:03.089Z,4190,2000,0,-2190
"つだピもん",OOnwSL9TFS,2026-01-19T11:18:08.104Z,2026-01-19T13:59:44.517Z,2000,2598,0,598
"konasho",b7sgMo_M-5,2026-01-19T11:18:08.110Z,,3708,,1830,-1878
