entry,at,order
"The player ""stshin @ Q2j8jaLDDn"" quits the game with a stack of 3242.",2026-01-19T14:00:25.687Z,176883122568700
"The player ""ナカヤマ @ LgKolQ4UDh"" quits the game with a stack of 2920.",2026-01-19T14:00:15.687Z,176883121568700
"The player ""Kay @ 5v7PwEvIAz"" quits the game with a stack of 2190.",2026-01-19T14:00:10.567Z,176883121056701
"The player ""utos @ g0yui9LXM4"" quits the game with a stack of 2632.",2026-01-19T14:00:10.567Z,176883121056700
"-- ending hand #155 --",2026-01-19T14:00:07.649Z,176883120764902
"""ナカヤマ @ LgKolQ4UDh"" collected 40 from pot",2026-01-19T14:00:07.649Z,176883120764901
"Uncalled bet of 40 returned to ""ナカヤマ @ LgKolQ4UDh""",2026-01-19T14:00:07.649Z,176883120764900
"""konasho @ b7sgMo_M-5"" folds",2026-01-19T14:00:06.807Z,176883120680700
"The admin ""konasho @ b7sgMo_M-5"" enqueued the game stop on next hand.",2026-01-19T14:00:05.302Z,176883120530200
"""ナカヤマ @ LgKolQ4UDh"" raises to 60",2026-01-19T13:59:57.486Z,176883119748600
"""stshin @ Q2j8jaLDDn"" folds",2026-01-19T13:59:48.504Z,176883118850400
"""utos @ g0yui9LXM4"" folds",2026-01-19T13:59:47.438Z,176883118743800
"""Kay @ 5v7PwEvIAz"" folds",2026-01-19T13:59:46.277Z,176883118627700
"""konasho @ b7sgMo_M-5"" posts a big blind of 20",2026-01-19T13:59:44.513Z,176883118451309
"""ナカヤマ @ LgKolQ4UDh"" posts a small blind of 10",2026-01-19T13:59:44.513Z,176883118451308
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2632) | #2 ""stshin @ Q2j8jaLDDn"" (3242) | #3 ""ナカヤマ @ LgKolQ4UDh"" (2900) | #8 ""konasho @ b7sgMo_M-5"" (1850) | #9 ""Kay @ 5v7PwEvIAz"" (2190)",2026-01-19T13:59:44.513Z,176883118451302
"-- starting hand #155 (id: 8qpevie0a4lh)  (No Limit Texas Hold'em) (dealer: ""stshin @ Q2j8jaLDDn"") --",2026-01-19T13:59:44.513Z,176883118451301
"The player ""つだピもん @ OOnwSL9TFS"" quits the game with a stack of 2598.",2026-01-19T13:59:44.513Z,176883118451300
"-- ending hand #154 --",2026-01-19T13:59:41.583Z,176883118158302
"""utos @ g0yui9LXM4"" collected 110 from pot",2026-01-19T13:59:41.583Z,176883118158301
"Uncalled bet of 110 returned to ""utos @ g0yui9LXM4""",2026-01-19T13:59:41.583Z,176883118158300
"""Kay @ 5v7PwEvIAz"" folds",2026-01-19T13:59:40.774Z,176883118077400
"""ナカヤマ @ LgKolQ4UDh"" folds",2026-01-19T13:59:29.700Z,176883116970000
"""stshin @ Q2j8jaLDDn"" folds",2026-01-19T13:59:24.686Z,176883116468600
"""utos @ g0yui9LXM4"" raises to 150",2026-01-19T13:59:23.674Z,176883116367400
"""Kay @ 5v7PwEvIAz"" raises to 40",2026-01-19T13:59:19.633Z,176883115963300
"""konasho @ b7sgMo_M-5"" folds",2026-01-19T13:59:15.177Z,176883115517700
"""つだピもん @ OOnwSL9TFS"" folds",2026-01-19T13:59:14.005Z,176883115400500
"""ナカヤマ @ LgKolQ4UDh"" posts a big blind of 20",2026-01-19T13:59:12.083Z,176883115208309
"""stshin @ Q2j8jaLDDn"" posts a small blind of 10",2026-01-19T13:59:12.083Z,176883115208308
"Player stacks: #1 ""utos @ g0yui9LXM4"" (2562) | #2 ""stshin @ Q2j8jaLDDn"" (3252) | #3 ""ナカヤマ @ LgKolQ4UDh"" (2920) | #6 ""つだピもん @ OOnwSL9TFS"" (2598) | #8 ""konasho @ b7sgMo_M-5"" (1850) | #9 ""Kay @ 5v7PwEvIAz"" (2230)",2026-01-19T13:59:12.083Z,176883115208301
"-- starting hand #154 (id: isv5lj0dcwxv)  (No Limit Texas Hold'em) (dealer: ""utos @ g0yui9LXM4"") --",2026-01-19T13:59:12.083Z,176883115208300
"""ナカヤマ @ LgKolQ4UDh"" shows a K♣, 9♣.",2026-01-19T13:59:09.770Z,176883114977000
"""stshin @ Q2j8jaLDDn"" shows a Q♦, A♠.",2026-01-19T13:59:08.751Z,176883114875100
"-- ending hand #153 --",2026-01-19T13:59:07.747Z,176883114774702
"""stshin @ Q2j8jaLDDn"" collected 250 from pot",2026-01-19T13:59:07.747Z,176883114774701
"Uncalled bet of 110 returned to ""stshin @ Q2j8jaLDDn""",2026-01-19T13:59:07.747Z,176883114774700
"""Kay @ 5v7PwEvIAz"" folds",2026-01-19T13:59:06.936Z,176883114693600
"""ナカヤマ @ LgKolQ4UDh"" folds",2026-01-19T13:58:46.320Z,176883112632000
"""stshin @ Q2j8jaLDDn"" raises to 150",2026-01-19T13:58:28.257Z,176883110825700
"""Kay @ 5v7PwEvIAz"" calls 40",2026-01-19T13:58:15.586Z,176883109558600
"""ナカヤマ @ LgKolQ4UDh"" bets 40",2026-01-19T13:57:42.138Z,176883106213800
"""stshin @ Q2j8jaLDDn"" checks",2026-01-19T13:57:12.439Z,176883103243900
"Turn: 10♥, K♦, 5♣ [6♥]",2026-01-19T13:56:51.785Z,176883101178500
"""Kay @ 5v7PwEvIAz"" checks",2026-01-19T13:56:50.978Z,176883101097800
