player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
k5rEzFp2MR,arash!,C,+37013,20,7320,29.34,7320,18.09,7320,11.81,2913,58.97,390,56.04,455,28.99,983,55.44,285
WtIP2AbI23,ノガード,C,-18667,20,6899,22.6,6899,13.2,6899,7.3,2821,64.55,268,55.56,315,31.53,685,54.63,216
hig4fvwo_m,とーち,C,-24597,20,6255,24.48,6255,14.71,6255,10.75,2549,64.37,247,57.4,331,26.76,680,45.6,182
gG60J3OV2j,Hibari,C,+10575,20,5755,22.59,5755,13.41,5755,7.87,2377,61.75,251,62.75,255,27.37,559,54.25,153
XaClitYV1x,らねおか,C,+1001,20,4612,22.12,4612,12.88,4612,9.11,1900,60.48,167,50.69,217,25.27,459,50.86,116
b7sgMo_M-5,konasho,C,-8336,20,4399,21.05,4399,12.46,4399,6.07,1764,70.19,161,58.95,190,31.58,380,49.17,120
LARvkSyvdc,パンドラ,C,+45045,20,4100,23.83,4100,16.15,4100,11.66,1707,53.03,132,55.26,228,32.53,415,66.67,135
yHZrsG6l5j,sigma,C,+16176,20,3796,22.84,3796,13.99,3796,8.58,1596,60.13,153,57.14,189,26.36,387,48.04,102
3uy3Mlil7r,goto-neo,C,+5385,20,3616,8.9,3616,5.92,3616,6.14,1532,6.9,29,12.5,80,27.27,143,46.15,39
7n59-giX1P,るも,C,-1395,20,3195,23.32,3195,14.62,3195,10.39,1271,57.04,135,40.12,167,31.71,328,53.85,104
6N30cpGlP_,Ene,C,-8148,20,2654,25.32,2654,15.37,2654,9.47,1109,71.68,113,40.82,147,31.02,274,52.94,85
Oo-rx1G24B,GIL RAIM,C,-17229,20,2574,33.99,2574,22.38,2574,17.61,1056,28.57,154,65.35,202,28.71,505,42.76,145
g0yui9LXM4,utos,C,+73,20,2558,27.13,2558,17.55,2558,9.64,985,59.68,124,50.96,157,29.51,288,45.88,85
-WgKDrZMvL,mo',C,-6597,20,2547,21.28,2547,13.43,2547,7.92,1023,50.53,95,45.24,126,33.61,238,53.75,80
QdL8xRwatP,Doc,C,+9459,20,2460,21.87,2460,12.07,2460,8.24,1007,63.22,87,62.04,108,30.57,229,51.43,70
tOQgx5q4M5,こうちゃん,C,-5675,20,2073,23.73,2073,15.0,2073,10.4,856,40.48,84,51.49,101,26.18,191,58.0,50
Oc04ITRF7i,waho,C,+8185,20,2027,20.92,2027,13.27,2027,9.84,864,53.85,52,46.23,106,30.88,204,60.32,63
EN9N_Z9A78,ぼくだよ,C,+10677,20,1972,22.01,1972,14.05,1972,7.1,817,52.56,78,51.55,97,28.64,206,54.24,59
5q3LcF3nPG,夏狼,C,-2744,20,1828,25.16,1828,16.25,1828,14.93,804,51.56,64,66.07,112,28.95,228,59.09,66
9zseyWfctH,池田,C,+627,20,1742,24.17,1742,15.79,1742,10.77,687,57.5,80,76.64,107,19.67,183,47.22,36
GtqOGZOqIV,粗茶,C,-4534,20,1692,22.28,1692,12.59,1692,8.9,730,68.66,67,56.41,78,25.61,164,50.0,42
WjqaCs8A5o,ばどえあー,C,-4928,20,1682,20.57,1682,12.01,1682,5.15,699,75.47,53,33.33,69,34.56,136,61.7,47
QBTw2JRIw5,Ramune,C,+5494,20,1454,23.87,1454,14.51,1454,10.41,605,58.33,60,58.73,63,25.95,158,56.1,41
Zvgc3jh8lw,MasatoM,C,-2870,20,1427,26.49,1427,16.61,1427,14.09,575,62.16,74,54.93,71,23.89,113,40.74,27
gjmiQ4-uAW,IAMB,C,+3837,20,1363,23.26,1363,15.19,1363,8.5,541,45.59,68,53.52,71,23.24,142,60.61,33
R_CyJXdyUV,megau,C,-225,20,1302,23.43,1302,15.28,1302,10.76,511,43.94,66,52.11,71,34.03,144,59.18,49
