順位,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
1,yokMVzYG_q,AontheRiver,C,+23132,20,2247,5,33.56,2247,24.88,2247,11.14,907,71.13,142,52.17,207,31.34,367,58.26,115
2,WeOKnoOueQ,hinano,C,+19862,20,3322,8,37.93,3322,28.36,3322,15.2,1349,57.99,169,61.56,359,35.26,641,45.13,226
3,vVo9VdBVBm,するたん,C,+13326,20,646,6,29.1,646,21.36,646,10.19,265,66.67,27,43.14,51,38.3,94,75.0,36
4,yEOnuJcBZo,Rabbit900,C,+12562,20,3333,9,27.21,3333,20.07,3333,12.96,1381,53.85,130,50.41,244,30.63,444,61.03,136
5,DXrWVNkdav,TNT,C,+9591,20,1055,8,41.9,1055,29.19,1055,15.7,414,68.0,50,69.52,105,36.45,214,55.13,78
6,byYrvu0Qdy,ElNino,C,+7877,20,1156,8,33.74,1156,22.49,1156,10.85,470,57.89,38,73.91,92,36.76,204,57.33,75
7,DZezvMNAJy,Noram,C,+7852,20,2013,9,31.79,2013,22.4,2013,7.66,822,54.26,94,51.41,177,34.37,355,54.92,122
8,-R7k1ogPyi,SHINJI1223,C,+6812,20,489,4,32.31,489,23.11,489,10.0,200,54.55,22,58.82,34,35.06,77,66.67,27
9,Xa_1dhYEV4,Lemon,C,+6519,20,812,6,25.86,812,14.78,812,6.88,349,61.11,18,56.9,58,36.81,144,64.15,53
10,b7sgMo_M-5,konasho,C,+6158,20,1415,7,27.77,1415,19.65,1415,9.58,553,64.91,57,54.46,101,39.58,192,65.79,76
11,m6qcHTxJhX,siruneko,C,+6133,20,980,8,24.69,980,20.2,980,12.0,400,52.38,42,45.28,53,32.04,103,63.64,33
12,-qEZ1CRvSu,miki,C,+5808,20,753,4,28.02,753,20.32,753,12.66,316,31.82,22,38.6,57,30.56,108,54.55,33
13,EI0h9NvLRP,いっせ,C,+5785,20,692,5,36.42,692,22.83,692,11.72,273,46.88,32,59.68,62,31.87,160,49.02,51
14,I42BI18xq3,zozozo,C,+5708,20,121,2,32.23,121,18.18,121,11.54,52,16.67,6,57.14,7,21.43,28,83.33,6
15,g0yui9LXM4,utos,C,+4923,20,940,6,37.45,940,27.02,940,14.43,388,46.34,41,56.99,93,28.49,179,47.06,51
16,D0RgrTLvZk,Yu.,C,+4910,20,586,3,26.28,586,19.62,586,9.39,245,80.0,25,40.0,45,45.33,75,70.59,34
17,nPiUhQEVMi,かいる,C,+4603,20,1068,7,25.09,1068,16.95,1068,9.79,429,63.16,38,51.85,54,34.65,127,52.27,44
18,kVKTrcl3ld,Futa,C,+4477,20,598,8,26.42,598,16.56,598,6.49,231,47.83,23,47.73,44,31.96,97,54.84,31
19,j2dIJuodA7,hanzo,C,+4452,20,472,3,31.14,472,21.82,472,10.2,196,61.9,21,51.11,45,20.69,87,44.44,18
20,j_3joKfzS9,takatony,C,+4402,20,3465,8,26.84,3465,19.22,3465,9.06,1380,63.97,136,58.57,210,31.73,457,63.45,145
21,Yg9-tEe5QH,cymx2724,C,+4257,20,821,5,33.13,821,14.13,821,8.66,254,59.26,27,46.51,43,30.69,101,48.39,31
22,uNHIhLxU5W,ゆっきーな,C,+4050,20,427,4,25.53,427,19.2,427,6.86,175,23.53,17,39.29,28,31.67,60,68.42,19
23,WjqaCs8A5o,ばどえあー,C,+3852,20,644,7,26.09,644,18.17,644,6.69,269,72.22,18,47.73,44,37.8,82,54.84,31
24,rhUBwDuHCf,konishi,C,+3743,20,531,5,26.74,531,19.4,531,10.78,204,31.25,16,57.14,35,41.18,68,60.71,28
25,XaClitYV1x,らねおか,C,+3712,20,692,5,27.6,692,18.93,692,9.15,306,68.97,29,51.02,49,30.1,103,74.19,31
26,Q0mo0HjOtt,Shingo,C,+3708,20,447,3,27.52,447,18.12,447,4.62,173,75.0,16,31.82,22,32.14,56,50.0,18
27,_kLNausMBV,安室,C,+3584,20,295,1,25.76,295,19.32,295,8.06,124,69.23,13,57.89,19,29.41,34,60.0,10
28,k5rEzFp2MR,arash!,C,+3563,20,1827,7,31.03,1827,22.06,1827,12.5,752,70.59,68,61.07,149,28.74,261,56.0,75
