player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
j_3joKfzS9,takatony,C,+12979,20,1582,24.4,1582,17.7,1582,7.52,612,70.97,62,56.32,87,24.74,190,68.09,47
WeOKnoOueQ,hinano,C,+10443,20,1529,38.26,1529,29.04,1529,16.72,616,75.0,60,61.18,170,35.31,286,46.53,101
yEOnuJcBZo,Rabbit900,C,+1892,20,1270,28.35,1270,21.73,1270,13.24,544,84.85,33,51.06,94,30.18,169,62.75,51
X2HiN5-cFQ,ゴン02（江戸犬）,C,-777,20,1202,28.45,1202,19.97,1202,10.28,496,64.44,45,49.44,89,44.51,182,55.56,81
yokMVzYG_q,AontheRiver,C,+20280,20,1164,34.19,1164,26.03,1164,11.14,449,78.87,71,47.11,121,31.84,201,60.94,64
3liBhfdN10,揚げもち,C,+557,20,1146,25.39,1146,18.94,1146,9.36,470,70.59,34,43.28,67,32.61,138,66.67,45
vdNIJNJGUU,すとふぁ,C,+200,20,1128,27.48,1128,19.86,1128,6.54,459,67.5,40,67.47,83,27.95,161,60.0,45
QBTw2JRIw5,Ramune,C,+7589,20,975,25.74,975,18.36,975,10.08,387,58.82,34,54.1,61,34.68,124,51.16,43
r1CBe6Qe79,なんでやねん,C,+967,20,968,29.34,968,20.97,968,10.59,406,71.05,38,44.26,61,40.15,137,52.73,55
tqB-r6hdq9,shunsuke11,C,+3334,20,959,27.11,959,19.29,959,10.1,406,74.07,27,47.62,63,35.48,124,61.36,44
Oc04ITRF7i,waho,C,-4430,20,957,23.82,957,17.45,957,6.91,391,72.22,18,48.53,68,37.39,115,53.49,43
O2b7zy1-XM,SetsunaTrip,C,+4422,20,813,27.31,813,19.56,813,7.54,345,79.41,34,48.08,52,38.53,109,64.29,42
k5rEzFp2MR,arash!,C,-3826,20,794,32.62,794,23.17,794,11.66,326,71.43,28,61.54,65,26.45,121,59.38,32
4_RBXVU9-k,翔斗,C,-5480,20,771,22.05,771,16.6,771,6.27,335,58.62,29,48.89,45,31.11,90,60.71,28
b7sgMo_M-5,konasho,C,+5410,20,742,26.55,742,19.41,742,10.86,304,65.0,20,60.0,50,40.4,99,70.0,40
TkMT4agdsh,alfort,C,-2475,20,682,26.54,682,17.89,682,8.47,295,71.43,21,65.22,46,36.84,95,48.57,35
Yg9-tEe5QH,cymx2724,C,+5566,20,671,35.17,671,14.16,671,8.04,199,80.0,15,47.22,36,36.14,83,46.67,30
3FatmzAl-m,Kuni,C,-8602,20,667,47.53,667,26.99,667,15.52,290,34.48,29,78.57,56,34.74,190,37.88,66
s_7Utr4tDi,それいゆ るな,C,-5582,20,659,33.08,659,17.6,659,6.99,286,33.33,21,47.62,42,33.11,148,51.02,49
DZezvMNAJy,Noram,C,-1182,20,611,30.28,611,22.26,611,8.3,253,65.52,29,44.07,59,33.01,103,55.88,34
4kHSZklLpK,teish,C,-3168,20,607,27.51,607,19.77,607,10.98,255,72.73,22,51.11,45,24.69,81,50.0,20
Xa_1dhYEV4,Lemon,C,+2782,20,601,27.29,601,15.14,601,7.69,260,83.33,12,61.9,42,33.91,115,58.97,39
XaClitYV1x,らねおか,C,+4312,20,598,27.76,598,19.23,598,9.58,261,85.0,20,48.78,41,30.95,84,80.77,26
byYrvu0Qdy,ElNino,C,+3308,20,579,36.79,579,23.83,579,11.67,240,78.57,14,75.0,52,35.25,122,53.49,43
YkRLv6Nf7r,27,C,-2437,20,571,24.87,571,17.51,571,8.37,239,94.12,17,54.76,42,33.8,71,50.0,24
g0yui9LXM4,utos,C,+2821,20,541,36.97,541,26.99,541,17.33,225,63.16,19,67.44,43,22.89,83,31.58,19
MI-fYAoFiY,ゆうま,C,+1532,20,534,25.28,534,17.04,534,5.86,222,100.0,14,58.82,34,22.58,62,57.14,14
cCFXQyltQ-,engawa,C,-2714,20,516,26.74,516,14.92,516,4.74,211,47.06,17,60.0,30,32.26,93,53.33,30
O1ujh7Dkxd,shunta,C,-511,20,512,24.22,512,15.43,512,4.02,224,68.75,16,43.33,30,31.17,77,54.17,24
hetGK5oIn4,yoh,C,-5509,20,499,39.08,499,11.82,499,9.48,116,53.85,13,46.43,28,26.0,50,46.15,13
D0RgrTLvZk,Yu.,C,+635,20,487,24.85,487,18.69,487,9.18,207,85.71,21,39.47,38,46.67,60,67.86,28
Oo-rx1G24B,GIL RAIM,C,-4386,20,482,41.08,482,23.86,482,10.4,202,37.5,24,64.86,37,32.79,122,32.5,40
n0s1KAOIRL,ころり,C,+1006,20,479,36.12,479,22.34,479,10.77,195,59.09,22,53.19,47,24.56,114,64.29,28
stzdogxFRA,ミナっち,C,+1039,20,475,30.74,475,20.0,475,13.47,193,47.06,17,55.17,29,48.15,81,61.54,39
j2dIJuodA7,hanzo,C,+4452,20,472,31.14,472,21.82,472,10.2,196,81.25,16,51.11,45,20.69,87,44.44,18
hig4fvwo_m,とーち,C,-997,20,456,27.19,456,20.18,456,9.14,197,68.75,16,87.88,33,33.33,69,52.17,23
iKNrGrbUkg,UMAUMA,C,-2798,20,437,27.69,437,17.16,437,7.06,170,80.0,10,48.15,27,28.07,57,43.75,16
SztbQ-wHxN,日経平均終値,C,+3010,20,430,33.02,430,19.77,430,7.69,169,78.95,19,52.63,38,23.26,86,50.0,20
MCmjCniXJd,dismal,C,-4611,20,427,37.24,427,22.48,427,11.49,174,53.85,13,90.0,40,25.53,94,41.67,24
DrGOt1cq1y,Jongo,C,-1032,20,427,26.46,427,20.37,427,10.8,176,72.22,18,48.15,27,36.0,50,38.89,18
m6qcHTxJhX,siruneko,C,+6511,20,407,22.6,407,18.67,407,11.83,169,62.5,16,50.0,18,32.43,37,66.67,12
GtqOGZOqIV,粗茶,C,-845,20,406,26.35,406,19.95,406,12.05,166,54.55,11,51.43,35,26.32,57,60.0,15
nBDoNSY8n2,MIU,C,-3898,20,394,30.71,394,18.53,394,10.32,155,50.0,4,45.16,31,50.0,74,54.05,37
nPiUhQEVMi,かいる,C,+278,20,390,25.64,390,17.18,390,9.15,153,80.0,15,42.31,26,32.14,56,66.67,18
WjqaCs8A5o,ばどえあー,C,+3993,20,378,24.87,378,15.34,378,5.03,159,87.5,8,56.0,25,34.62,52,61.11,18
26v7hSw7Sn,わた,C,+4411,20,360,44.17,360,26.11,360,13.64,154,45.0,20,55.88,34,33.33,102,58.82,34
upQSzf-M-C,TOMO(),C,+948,20,353,25.21,353,20.11,353,14.29,147,75.0,8,33.33,30,36.17,47,70.59,17
0QyEE5Hc9o,常盤木いつき,C,-2038,20,349,26.65,349,19.48,349,9.15,153,92.31,13,43.48,23,21.74,46,50.0,10
-WgKDrZMvL,mo',C,-931,20,345,25.51,345,19.42,345,8.89,135,88.89,9,32.0,25,25.58,43,45.45,11
wO4Vw2dQ8t,イナズマKすけ,C,-5220,20,342,26.9,342,19.3,342,9.15,142,63.64,11,51.72,29,30.91,55,58.82,17
rhUBwDuHCf,konishi,C,+6301,20,332,20.48,332,15.66,332,9.02,133,66.67,6,66.67,18,46.88,32,60.0,15
XqrTiXnRSu,APO,C,+5985,20,318,44.34,318,16.35,318,8.53,129,36.36,11,65.22,23,37.65,85,65.62,32
DXrWVNkdav,TNT,C,+2198,20,316,41.14,316,27.53,316,17.6,125,78.57,14,63.33,30,41.18,68,53.57,28
fyjEJaUFUd,をにぎり,C,-5940,20,314,37.9,314,23.25,314,12.06,141,40.0,10,57.14,28,23.68,76,50.0,18
9W903vxPw_,そふとくりーむ,C,-2931,20,302,32.78,302,19.54,302,5.83,120,68.75,16,54.55,11,27.91,43,41.67,12
kVKTrcl3ld,Futa,C,+7594,20,300,25.33,300,16.0,300,5.83,120,44.44,9,52.17,23,36.0,50,61.11,18
5v7PwEvIAz,Kay,C,+2529,20,297,23.91,297,16.16,297,12.12,132,100.0,7,37.5,16,39.39,33,69.23,13
9o1jneL_Ei,Shingo2,C,+623,20,295,27.46,295,16.61,295,4.27,117,77.78,9,38.46,13,30.77,39,50.0,12
_kLNausMBV,安室,C,+3584,20,295,25.76,295,19.32,295,8.06,124,75.0,12,57.89,19,29.41,34,60.0,10
nxKtWVcmeY,北ふくろー,C,-2871,20,289,35.64,289,19.38,289,4.65,129,69.23,13,61.11,18,20.0,55,45.45,11
0vKy_AgCXx,tknsn,C,-972,20,288,29.86,288,20.14,288,6.48,108,75.0,8,45.45,22,16.33,49,50.0,8
vVo9VdBVBm,するたん,C,+2712,20,277,29.96,277,23.83,277,11.97,117,75.0,12,42.86,21,33.33,36,50.0,12
6weTfFBYpF,ほたるいか,C,+23,20,275,26.91,275,18.18,275,13.33,120,10.0,10,53.33,15,25.64,39,60.0,10
zz83sIdu2k,りく,C,+2071,20,273,50.55,273,39.56,273,24.55,110,61.54,13,62.5,56,23.86,88,47.62,21
BZCdwuhpMU,実力の若林,C,+2205,20,267,34.46,267,19.85,267,10.78,102,75.0,8,53.33,15,41.3,46,52.63,19
sYruTEJ8Uw,Mazzo,C,-3865,20,258,31.78,258,20.16,258,16.04,106,25.0,4,78.95,19,26.09,46,58.33,12
mXg0a8r7as,Fuku,C,-4171,20,249,32.93,249,20.48,249,9.62,104,71.43,7,66.67,21,32.69,52,58.82,17
HZmCRZd6SG,Neku,C,+711,20,247,25.51,247,16.6,247,8.7,115,100.0,7,23.08,13,14.29,28,100.0,4
EhpMamj_1G,kyntama,C,+2160,20,242,27.27,242,21.07,242,7.29,96,77.78,9,41.18,17,35.48,31,45.45,11
cS0TbNKfbn,Takatobi,C,+719,20,238,34.45,238,25.63,238,13.95,86,53.85,13,47.83,23,36.36,44,37.5,16
-QE9uKlHEU,kenyu,C,-1624,20,237,30.38,237,18.99,237,5.45,110,60.0,5,50.0,12,35.29,34,75.0,12
WtIP2AbI23,ノガード,C,-296,20,236,39.83,236,30.51,236,15.84,101,82.35,17,52.94,17,22.86,35,50.0,8
xOaP7PB88A,sokun777,C,+16,20,229,30.13,229,19.21,229,6.45,93,75.0,4,56.25,16,23.53,34,50.0,8
7htETinMJU,MAX,C,+987,20,225,17.78,225,13.78,225,11.01,109,75.0,4,28.57,14,25.0,24,83.33,6
9kBl9X8tEm,だいすけ,C,-6522,20,222,25.23,222,15.32,222,5.81,86,33.33,3,40.0,10,36.36,33,8.33,12
0Se4rsLO6v,スーカンツ,C,+532,20,214,23.36,214,16.82,214,15.29,85,60.0,5,54.55,11,50.0,24,50.0,12
W_OnerqyAy,naruko,C,-7329,20,213,55.87,213,36.15,213,16.05,81,41.18,17,55.0,20,31.75,63,30.0,20
8IgjF6KI_P,tomo0428,C,-2146,20,211,36.49,211,25.59,211,16.48,91,37.5,8,66.67,18,23.08,39,44.44,9
ZzPjBrJeSm,roi,C,-1702,20,209,45.45,209,27.27,209,21.05,76,0.0,9,66.67,18,31.03,58,55.56,18
cpr364TXsN,くま,C,-138,20,198,21.72,198,15.66,198,7.59,79,75.0,8,77.78,9,30.0,20,33.33,6
6N30cpGlP_,Ene,C,+757,20,196,29.08,196,22.45,196,10.67,75,66.67,6,37.5,8,37.5,16,66.67,6
H_d68jYO9T,コロリ,C,+1505,20,182,31.32,182,23.08,182,5.71,70,62.5,8,38.46,13,25.93,27,42.86,7
SrJdWlcNBY,RYOTA,C,-1626,20,175,28.0,175,17.71,175,10.77,65,100.0,6,69.23,13,25.0,24,50.0,6
yOGROR9-hE,ワイエム,C,-2913,20,170,42.35,170,12.35,170,1.43,70,28.57,7,14.29,7,35.59,59,71.43,21
yHZrsG6l5j,sigma,C,+1744,20,167,29.94,167,17.96,167,4.35,69,85.71,7,40.0,10,53.57,28,53.33,15
EN9N_Z9A78,ぼくだよ,C,-2123,20,164,27.44,164,20.12,164,11.27,71,50.0,8,61.54,13,25.0,24,50.0,6
bqEtnO6wX9,つー,C,-1212,20,156,30.77,156,20.51,156,5.56,54,50.0,10,75.0,4,35.0,20,28.57,7
t7MdS6sSCT,satoru,C,+3518,20,146,27.4,146,19.18,146,10.94,64,50.0,4,36.36,11,40.91,22,66.67,9
Bvxa5VV39S,piro,C,+1571,20,143,23.08,143,17.48,143,9.68,62,100.0,2,45.45,11,29.41,17,40.0,5
QK8nAFN9E2,カイン,C,-2025,20,141,31.21,141,13.48,141,4.62,65,80.0,5,0.0,2,24.0,25,16.67,6
7n59-giX1P,るも,C,-1121,20,136,27.21,136,23.53,136,17.86,56,50.0,2,52.94,17,18.18,22,75.0,4
iBhJbKViQ_,おかピー,C,-284,20,134,41.79,134,31.34,134,7.55,53,60.0,10,80.0,15,39.29,28,36.36,11
y4bVPCJM4_,なかい,C,-943,20,132,16.67,132,9.85,132,1.64,61,60.0,5,50.0,2,9.09,11,100.0,1
6DX7hOo5Ri,てつ,C,-1066,20,126,42.06,126,28.57,126,18.37,49,66.67,6,75.0,16,42.86,28,50.0,12
MqZu0oArm3,小鳥遊ひいろ,C,+693,20,122,21.31,122,13.93,122,1.92,52,33.33,3,50.0,4,42.86,14,50.0,6
I42BI18xq3,zozozo,C,+5708,20,121,32.23,121,18.18,121,11.54,52,25.0,4,57.14,7,21.43,28,83.33,6
4GTkR8PieQ,takatobi,C,+872,20,120,29.17,120,20.0,120,13.64,44,100.0,3,38.46,13,40.91,22,66.67,9
TVNlFwDOoe,KAWAUSO,C,-1929,20,119,33.61,119,23.53,119,11.9,42,33.33,6,76.92,13,38.46,26,50.0,10
OOnwSL9TFS,つだピもん,C,-517,20,113,27.43,113,15.04,113,9.3,43,100.0,3,100.0,1,44.44,9,25.0,4
wE-EPOxf9q,宇宙１のたっちゃん,C,-8975,20,110,43.64,110,24.55,110,16.28,43,60.0,5,46.15,13,37.5,32,33.33,12
UHNPbgw1ue,okbokujo,C,-3171,20,109,27.52,109,14.68,109,6.82,44,50.0,2,42.86,7,40.0,20,37.5,8
Figi6mUf2R,Agu,C,+87,20,107,39.25,107,28.97,107,15.56,45,100.0,2,71.43,7,23.53,17,50.0,4
tOQgx5q4M5,こうちゃん,C,-2521,20,103,20.39,103,18.45,103,8.51,47,66.67,3,72.73,11,28.57,14,25.0,4
-R7k1ogPyi,SHINJI1223,C,+1211,20,95,28.42,95,18.95,95,10.0,40,100.0,2,60.0,5,30.77,13,50.0,4
SQgoIV_H58,けーたさん,C,-60,20,93,22.58,93,13.98,93,8.11,37,0.0,0,75.0,8,15.38,13,50.0,2
zFXBMUEx_N,わんわん,C,+2090,20,91,36.26,91,24.18,91,8.0,25,75.0,4,57.14,7,46.15,13,66.67,6
A9xvP3DhlS,mega,C,-2455,20,89,32.58,89,16.85,89,15.15,33,0.0,2,75.0,4,20.0,20,25.0,4
TOznNDIpCr,あい,C,-2580,20,87,26.44,87,19.54,87,14.63,41,50.0,2,71.43,7,35.71,14,20.0,5
6EXZrOgNuV,ふじ,C,-887,20,86,16.28,86,10.47,86,10.53,38,0.0,1,40.0,5,27.27,11,33.33,3
