player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
46bcb58c-75ae-43da-9973-67583ea19221,03/Omi,D,+15160,20,924,1,15.58,924,12.45,924,9.88,344,25.0,20,69.77,43,29.07,86,48.0,25
d51959d6-9d74-41b0-867e-28d4f754897f,sugasuga,D,-1205.8,20,923,1,19.07,923,12.03,923,6.02,332,86.36,22,55.56,45,34.91,106,51.35,37
6df32555-78c2-439e-b7ef-239b4930b532,若松,D,+469.6,20,780,1,20.26,780,14.1,780,6.45,279,57.14,28,51.28,39,35.96,89,68.75,32
K39Tra2qGg,tanishi,D,+2715.8,20,715,1,30.35,715,23.08,715,10.47,277,48.48,33,59.42,69,28.15,135,39.47,38
cd698537-6ce2-4ae4-a098-14705b9d5507,よろろ,D,+5922.6,20,701,1,26.25,701,19.83,701,12.65,245,48.65,37,70.45,44,35.51,107,42.11,38
92d5fa5f-9bbf-4e36-a2dc-9955f940c825,ますたーど,D,+1705.8,20,692,1,24.71,692,16.47,692,7.27,275,59.09,22,52.27,44,33.03,109,63.89,36
4907cb5a-b993-4cbe-9990-48e2079d6101,みっちゃん,D,+2406.4,20,683,1,17.72,683,14.49,683,9.09,253,39.13,23,48.89,45,31.65,79,60.0,25
k5rEzFp2MR,arash!,C,+544.4,20,676,1,21.75,676,18.79,676,10.17,236,75.0,28,62.3,61,40.0,85,58.82,34
W_OnerqyAy,naruko,C,-7476.6,20,674,1,26.11,674,18.69,674,17.34,248,12.5,24,80.0,50,28.8,125,41.67,36
Oc04ITRF7i,waho,C,+4618.4,20,673,1,20.06,673,16.64,673,12.6,262,56.67,30,64.86,37,35.29,68,45.83,24
