player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
WtIP2AbI23,ノガード,B,+316.34,20,2820,1,23.44,661,2820,18.79,530,2820,9.23,93,1008,62.28,71,114,50.51,100,198,34.86,122,350,58.2,71,122
DXrWVNkdav,TNT,C,-910.14,20,2626,1,35.64,936,2626,28.75,755,2626,24.97,240,961,35.77,44,123,64.53,191,296,43.59,245,562,51.43,126,245
byYrvu0Qdy,ElNino,A,-186.48,20,2598,1,22.9,595,2598,18.59,483,2598,12.71,104,818,52.07,63,121,56.04,102,182,41.06,140,341,46.43,65,140
X2HiN5-cFQ,ゴン02（江戸犬）,B,+924.71,20,2548,1,23.51,599,2548,19.23,490,2548,11.42,106,928,61.22,60,98,55.19,101,183,38.97,129,331,58.14,75,129
Sc5KlYAPzP,mo’,B,+225.31,20,2296,1,24.7,567,2296,20.12,462,2296,11.78,98,832,66.34,67,101,41.67,70,168,33.22,99,298,44.44,44,99
b7sgMo_M-5,konasho,C,-278.83,20,2222,1,21.56,479,2222,17.15,381,2222,9.79,82,838,73.47,72,98,58.73,74,126,31.78,75,236,52.0,39,75
bqEtnO6wX9,つー,B,+895.38,20,2195,1,22.87,502,2195,17.04,374,2195,9.17,77,840,58.02,47,81,67.86,95,140,33.11,97,293,50.52,49,97
k5rEzFp2MR,arash!,C,-127.58,20,2149,1,25.59,550,2149,20.38,438,2149,9.78,71,726,67.29,72,107,57.31,98,171,39.8,119,299,49.58,59,119
nPiUhQEVMi,かいる,B,-45.58,20,2103,1,24.63,518,2103,18.74,394,2103,9.93,75,755,49.4,41,83,58.55,89,152,36.48,112,307,51.79,58,112
r1CBe6Qe79,なんでやねん,A,+233.77,20,1723,1,25.42,438,1723,19.21,331,1723,12.57,71,565,81.43,57,70,45.37,49,108,39.65,90,227,50.0,45,90
