session_date,season_id,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
20260202,1,WeOKnoOueQ,hinano,C,-1574,20,151,49.01,151,31.79,151,15.38,52,62.5,8,61.54,13,38.71,31,50.0,12
20260202,1,t7MdS6sSCT,satoru,C,+3518,20,146,27.4,146,19.18,146,10.94,64,50.0,4,36.36,11,40.91,22,66.67,9
20260202,1,XaClitYV1x,らねおか,C,+499,20,138,30.43,138,19.57,138,8.62,58,66.67,9,14.29,7,33.33,15,80.0,5
20260202,1,3liBhfdN10,揚げもち,C,+3310,20,135,30.37,135,24.44,135,12.0,50,66.67,3,46.15,13,60.0,20,75.0,12
20260202,1,y4bVPCJM4_,なかい,C,-943,20,132,16.67,132,9.85,132,1.64,61,50.0,6,50.0,2,9.09,11,100.0,1
20260202,1,O2b7zy1-XM,SetsunaTrip,C,+907,20,129,24.81,129,19.38,129,5.66,53,50.0,8,60.0,10,38.89,18,42.86,7
20260202,1,D0RgrTLvZk,Yu.,C,+10,20,127,29.92,127,22.83,127,10.91,55,100.0,8,40.0,10,47.06,17,75.0,8
20260202,1,vdNIJNJGUU,すとふぁ,C,+1236,20,126,26.98,126,21.43,126,8.0,50,50.0,6,87.5,8,17.65,17,100.0,3
20260202,1,r1CBe6Qe79,なんでやねん,C,-1065,20,124,35.48,124,25.81,124,14.89,47,57.14,7,28.57,7,25.0,16,25.0,4
20260202,1,MqZu0oArm3,小鳥遊ひいろ,C,+693,20,122,21.31,122,13.93,122,1.92,52,33.33,3,50.0,4,42.86,14,50.0,6
20260202,1,BZCdwuhpMU,実力の若林,C,+755,20,116,35.34,116,23.28,116,8.7,46,25.0,4,33.33,9,45.45,22,50.0,10
20260202,1,X2HiN5-cFQ,ゴン02（江戸犬）,C,-4511,20,114,32.46,114,25.44,114,10.81,37,33.33,6,80.0,5,61.54,13,37.5,8
20260202,1,QBTw2JRIw5,Ramune,C,+1726,20,114,27.19,114,19.3,114,6.67,45,66.67,6,50.0,6,33.33,12,75.0,4
20260202,1,OOnwSL9TFS,つだピもん,C,-517,20,113,27.43,113,15.04,113,9.3,43,100.0,3,100.0,1,44.44,9,25.0,4
20260202,1,EN9N_Z9A78,ぼくだよ,C,-273,20,112,28.57,112,20.54,112,10.87,46,50.0,4,63.64,11,22.22,18,75.0,4
20260202,1,j_3joKfzS9,takatony,C,-2227,20,112,29.46,112,22.32,112,15.91,44,66.67,3,28.57,7,13.33,15,0.0,2
20260202,1,yokMVzYG_q,AontheRiver,C,+4186,20,112,40.18,112,30.36,112,12.5,40,87.5,8,61.54,13,22.22,18,100.0,4
20260202,1,MI-fYAoFiY,ゆうま,C,-490,20,112,24.11,112,17.86,112,2.22,45,100.0,5,62.5,8,7.69,13,0.0,1
20260202,1,wE-EPOxf9q,宇宙１のたっちゃん,C,-8975,20,110,43.64,110,24.55,110,16.28,43,42.86,7,46.15,13,37.5,32,33.33,12
20260202,1,GtqOGZOqIV,粗茶,C,-905,20,109,29.36,109,22.94,109,13.51,37,50.0,6,53.85,13,23.81,21,60.0,5
20260202,1,cS0TbNKfbn,Takatobi,C,+183,20,108,27.78,108,19.44,108,11.63,43,50.0,4,66.67,9,20.0,15,33.33,3
20260202,1,7htETinMJU,MAX,C,-86,20,105,16.19,105,12.38,105,13.21,53,0.0,1,25.0,4,12.5,8,100.0,1
20260202,1,hetGK5oIn4,yoh,C,-1008,20,104,17.31,104,12.5,104,6.0,50,50.0,6,80.0,5,9.09,11,100.0,1
20260202,1,tOQgx5q4M5,こうちゃん,C,-2521,20,103,20.39,103,18.45,103,8.51,47,40.0,5,72.73,11,28.57,14,25.0,4
20260202,1,3FatmzAl-m,Kuni,C,+1052,20,103,36.89,103,23.3,103,19.57,46,0.0,0,77.78,9,36.36,22,50.0,8
20260202,1,zz83sIdu2k,りく,C,-441,20,102,48.04,102,35.29,102,22.73,44,40.0,5,66.67,15,27.59,29,37.5,8
20260202,1,g0yui9LXM4,utos,C,+2319,20,101,43.56,101,30.69,101,13.16,38,60.0,5,81.82,11,25.0,20,20.0,5
20260202,1,6weTfFBYpF,ほたるいか,C,+1145,20,97,28.87,97,19.59,97,14.63,41,25.0,4,75.0,4,18.18,11,50.0,2
20260202,1,tqB-r6hdq9,shunsuke11,C,-1350,20,91,29.67,91,20.88,91,14.29,35,100.0,2,50.0,10,21.43,14,66.67,3
20260202,1,zFXBMUEx_N,わんわん,C,+2090,20,91,36.26,91,24.18,91,8.0,25,75.0,4,57.14,7,46.15,13,66.67,6
20260202,1,A9xvP3DhlS,mega,C,-2455,20,89,32.58,89,16.85,89,15.15,33,0.0,2,75.0,4,20.0,20,25.0,4
20260202,1,H_d68jYO9T,コロリ,C,+1505,20,87,29.89,87,22.99,87,0.0,34,40.0,5,33.33,6,30.0,10,33.33,3
20260202,1,TOznNDIpCr,あい,C,-2580,20,87,26.44,87,19.54,87,14.63,41,50.0,2,71.43,7,35.71,14,20.0,5
20260202,1,s_7Utr4tDi,それいゆ るな,C,+2055,20,87,40.23,87,24.14,87,7.69,39,50.0,4,50.0,8,17.39,23,75.0,4
20260202,1,kVKTrcl3ld,Futa,C,+590,20,86,27.91,86,16.28,86,8.11,37,0.0,3,83.33,6,18.75,16,33.33,3
20260202,1,j2dIJuodA7,hanzo,C,+375,20,86,29.07,86,22.09,86,8.57,35,60.0,5,54.55,11,23.53,17,75.0,4
20260202,1,iBhJbKViQ_,おかピー,C,-158,20,85,42.35,85,30.59,85,8.82,34,60.0,5,100.0,8,41.18,17,28.57,7
20260202,1,YkRLv6Nf7r,27,C,+245,20,84,26.19,84,20.24,84,11.11,36,60.0,5,28.57,7,50.0,10,60.0,5
20260202,1,HZmCRZd6SG,Neku,C,+665,20,81,23.46,81,19.75,81,14.29,35,100.0,3,33.33,6,0.0,8,0.0,0
20260202,1,sYruTEJ8Uw,Mazzo,C,+1096,20,81,34.57,81,19.75,81,13.79,29,0.0,1,71.43,7,17.65,17,100.0,3
20260202,1,DZezvMNAJy,Noram,C,+151,20,80,26.25,80,17.5,80,0.0,34,33.33,3,0.0,8,21.43,14,66.67,3
20260202,1,QK8nAFN9E2,カイン,C,-1095,20,80,31.25,80,12.5,80,4.88,41,100.0,2,0.0,2,27.78,18,20.0,5
20260202,1,b7sgMo_M-5,konasho,C,+905,20,80,26.25,80,18.75,80,17.5,40,100.0,2,80.0,5,36.36,11,75.0,4
20260202,1,-zWKG5L3i7,-TOMO-,C,+73,20,79,43.04,79,32.91,79,24.0,25,33.33,3,12.5,8,43.75,16,42.86,7
20260202,1,byYrvu0Qdy,ElNino,C,+3436,20,79,31.65,79,20.25,79,3.85,26,0.0,2,85.71,7,33.33,15,60.0,5
20260202,1,lQ2rbwu868,ケイン寿司,C,-2756,20,79,21.52,79,10.13,79,2.86,35,0.0,1,0.0,3,0.0,11,0.0,0
20260202,1,26v7hSw7Sn,わた,C,+1846,20,79,34.18,79,22.78,79,12.9,31,33.33,3,66.67,6,37.5,16,83.33,6
20260202,1,hig4fvwo_m,とーち,C,-445,20,79,27.85,79,20.25,79,9.38,32,0.0,1,87.5,8,28.57,14,25.0,4
20260202,1,cpr364TXsN,くま,C,+269,20,79,21.52,79,16.46,79,7.14,28,100.0,4,80.0,5,25.0,8,50.0,2
20260202,1,DrGOt1cq1y,Jongo,C,+480,20,79,32.91,79,25.32,79,6.9,29,80.0,5,40.0,5,33.33,9,66.67,3
20260202,1,9kBl9X8tEm,だいすけ,C,-687,20,78,28.21,78,17.95,78,3.7,27,33.33,3,0.0,2,9.09,11,100.0,1
20260202,1,g6iLEQsU67,makoh,C,-1505,20,78,24.36,78,17.95,78,6.9,29,0.0,2,83.33,6,36.36,11,25.0,4
20260202,1,7x5MHOv7Oo,yutorse,C,-1165,20,78,33.33,78,25.64,78,8.0,25,100.0,2,83.33,6,38.46,13,20.0,5
20260202,1,xOaP7PB88A,sokun777,C,+1864,20,76,30.26,76,18.42,76,13.33,30,100.0,1,66.67,6,36.36,11,75.0,4
